行业,企业名称,统一社会信用代码,烟尘（千克）,二氧化硫（千克）,氮氧化物（千克）,年份,月份
"其他具体行业	","河北商耐新材料科技有限公司	","91130522MA0989PX2C	","0.000000	","0.000000	","0.000000	",2023,1
"化工	","河北深茂新材料科技有限公司	","9113050667030656X9	","227.016200	","142.408800	","730.230900	",2023,1
"化工	","河北省沙河市恒高化工有限公司	","91130582732904638D	","0.000000	","0.000000	","0.000000	",2023,1
"橡胶	","河北泰能鸿森医疗科技有限公司	","91130581054013624U	","9.700000	","36.800000	","483.510000	",2023,1
"其他具体行业	","河北特正达建筑材料有限公司	","91130528MA07K6KX63	","26.721000	","256.062000	","290.670000	",2023,1
"碳素	","河北翔九石墨股份有限公司	","911305210922986910	","0.000000	","0.000000	","0.000000	",2023,1
"水泥	","河北新盈科创钙业股份有限公司	","91130500MA07K0XU82	","0.000000	","0.000000	","0.000000	",2023,1
"玻璃	","河北鑫利玻璃有限公司	","91130582779196018C	","466.190000	","447.369000	","3797.549000	",2023,1
"新型建材	","河北邢台新兴墙材有限公司	","91130521105914597F	","0.000000	","0.000000	","0.000000	",2023,1
"化工	","河北邢台冶金镁业有限公司	","9113052170078730XT	","0.000000	","0.000000	","0.000000	",2023,1
"其他具体行业	","河北邢州耐火材料有限公司	","91130522788660337M	","0.000000	","0.000000	","0.000000	",2023,1
"其他具体行业	","河北岳腾热力有限公司分厂	","91130532MA7BXHYE28	","0.000000	","0.000000	","0.000000	",2023,1
"其他具体行业	","河北云筒环保科技有限公司	","91130528MA097M8H3K	","1.321800	","3.614000	","79.705000	",2023,1
"玻璃	","河北正大玻璃有限公司	","911305827603270227	","322.749000	","327.069000	","2832.154000	",2023,1
"水泥	","河北中达集团有限责任公司	","911305007006319970	","0.861400	","0.000000	","0.000000	",2023,1
"焦化	","河北中煤旭阳能源有限公司	","9113052175548818XG	","1578.479000	","3545.739200	","4241.645000	",2023,1
"其他具体行业	","河北中仁化肥集团有限公司	","911305285881780959	","0.000000	","0.000000	","0.000000	",2023,1
"固体废物处理厂	","河北中润生态环保有限公司	","91130100760317983E	","2.773000	","4.904000	","210.307000	",2023,1
"化工	","河北卓泰肥业有限公司	","91130523081305171D	","0.000000	","0.000000	","0.000000	",2023,1
"火电	","冀中能源股份有限公司东庞矿矸石热电厂	","91130500766638198R	","48.452600	","100.369900	","1383.893300	",2023,1
"火电	","冀中能源股份有限公司章村矿矸石热电厂	","91130582766631359A	","166.846074	","342.062110	","914.329463	",2023,1
"火电	","建投邢台热电有限责任公司	","911305273198198866	","3293.612400	","21147.974800	","29552.469500	",2023,1
"其他服务类	","巨鹿县奥联热力有限公司	","911305293200680982	","0.000000	","0.000000	","0.000000	",2023,1
"其他服务类	","巨鹿县德诚通热力有限公司	","91130529MA07NB6L93	","19.457700	","34.864900	","262.829900	",2023,1
"新型建材	","巨鹿县滏阳新区墙体材料厂	","92130529MA0BQJLC2X	","0.000000	","0.000000	","0.000000	",2023,1
"新型建材	","巨鹿县华筑建材厂	","91130529336011141T	","0.000000	","0.000000	","0.000000	",2023,1
"生活垃圾焚烧	","巨鹿县聚力环保有限公司	","91130529070826254C	","701.327000	","1774.266300	","5392.949000	",2023,1
"新型建材	","巨鹿县强瑞墙体材料厂	","92130529MA09LDPK8G	","0.000000	","0.000000	","0.000000	",2023,1
"新型建材	","巨鹿县鑫垚墙体材料厂（普通合伙）	","91130529MA07MK2W21	","0.000000	","0.000000	","0.000000	",2023,1
"橡胶	","巨鹿县卓利程橡胶制品有限公司	","91130529087276981J	","2.764000	","0.000000	","0.000000	",2023,1
"其他具体行业	","卡博特旭阳化工（邢台）有限公司	","91130500576771211U	","41.320530	","646.972700	","1628.516900	",2023,1
"水泥	","奎山水泥有限公司	","911305256958719443	","0.823801	","0.000000	","0.000000	",2023,1
"其他具体行业	","临城东能热力有限公司	","91130522308458560D	","0.192000	","4.475000	","24.033000	",2023,1
"其他具体行业	","临城科信耐材有限公司	","9113052268139215XP	","0.000000	","0.000000	","0.000000	",2023,1
"其他具体行业	","临城县圣火耐火材料有限公司	","91130522694698094G	","0.000000	","0.000000	","0.000000	",2023,1
"建筑及工业物料堆场	","临城县信友耐火材料有限公司	","91130522MA07TDXG8N	","0.086900	","0.000000	","3.410000	",2023,1
"水泥	","临城中联福石水泥有限公司	","911305226010809233	","0.000000	","0.000000	","0.000000	",2023,1
"水泥	","临城中联水泥有限公司	","91130522766646665Y	","217.892800	","100.067300	","5814.855300	",2023,1
"电力	","临西县福皓热力有限公司	","91130535308327173T	","50.450000	","128.270000	","5477.264000	",2023,1
"其他具体行业	","临西县茂盛建材厂	","91130535MA07R7MP4U	","0.000000	","0.000000	","0.000000	",2023,1
"新型建材	","临西县盛通建材厂	","92130535MA09KM1M0L	","0.000000	","0.000000	","0.000000	",2023,1
"新型建材	","临西县兴安建材厂	","91130535347646986L	","0.000000	","0.000000	","0.000000	",2023,1
"化工	","龙星化工股份有限公司	","91130500769806003D	","1079.413700	","1658.232700	","10216.121400	",2023,1
"火电	","隆尧天唯热电有限公司	","91130525758926624M	","170.946000	","991.415000	","2093.929000	",2023,1
"新型建材	","隆尧县盛昌制砖厂	","91130525077487793N	","0.000000	","0.000000	","0.000000	",2023,1
"新型建材	","隆尧县兴瑞建筑材料有限公司	","91130525096741224H	","0.000000	","0.000000	","0.000000	",2023,1
"其他具体行业	","隆尧县亚旭制砖厂	","911305255968148807	","0.000000	","0.000000	","0.000000	",2023,1
"新型建材	","隆尧县占召制砖厂（普通合伙）	","911305250872529128	","0.000000	","0.000000	","0.000000	",2023,1
"石灰和石膏制造	","内丘县明磊石灰厂	","911305235809747597	","0.000000	","0.000000	","0.000000	",2023,1
"其他具体行业	","南宫市聚纯炭素有限公司	","91130581056508428J	","22.681000	","154.759000	","95.250000	",2023,1
"其他服务类	","南宫市联森热力有限公司	","91130581MA09WU9X9X	","0.000000	","0.000000	","0.000000	",2023,1
"新型建材	","南和县长恒建材有限公司	","91130527566184304R	","0.000000	","0.000000	","0.000000	",2023,1
"玻璃	","南和县长红玻璃有限公司	","91130527795485485G	","120.781000	","193.023000	","1837.701000	",2023,1
"新型建材	","南和县顺发建材有限公司	","911305273296582112	","0.000000	","0.000000	","0.000000	",2023,1
"其他具体行业	","宁晋县峰永建筑材料有限公司	","91130528347679358E	","0.000000	","0.000000	","0.000000	",2023,1
"生活垃圾焚烧	","宁晋县嘉伟环保科技有限公司	","91130528MA0E6DXD45	","32.845000	","681.599000	","2252.773000	",2023,1
"新型建材	","宁晋县佑良建筑材料有限公司	","911305283363328778	","0.000000	","0.000000	","0.000000	",2023,1
"其他具体行业	","宁晋县元帮热力有限公司	","91130528MA08DKFC3K	","0.000000	","0.000000	","0.000000	",2023,1
"新型建材	","平乡县百盛新型建材有限公司	","91130532336288562Y	","49.800100	","218.272400	","633.304700	",2023,1
"新型建材	","平乡县鼎旺建筑材料厂	","91130532MA07TMTJ1B	","0.000000	","0.000000	","0.000000	",2023,1
"新型建材	","平乡县工盛新型材料有限公司	","91130532347726070M	","0.000000	","0.000000	","0.000000	",2023,1
"新型建材	","平乡县金通新型建筑材料有限公司	","91130532MA07PA7P6D	","0.000000	","0.000000	","0.000000	",2023,1
"新型建材	","平乡县磊鑫新型建材有限公司	","91130532336355016F	","0.000000	","0.000000	","0.000000	",2023,1
"新型建材	","平乡县岭东新型建材有限公司	","911305323585243004	","0.000000	","0.000000	","0.000000	",2023,1
"其他具体行业	","清河县万顺热力供应有限公司	","91130534MA07KU9W3D	","1.702126	","1.060543	","10.661180	",2023,1
"新型建材	","清河县永正新型建材厂	","92130534MA08MX8B5R	","0.000000	","0.000000	","0.000000	",2023,1
"新型建材	","任县大宋乡机制砖厂	","91130526107442191N	","0.000000	","0.000000	","0.000000	",2023,1
"新型建材	","任县冯村砖厂	","92130526MA0AEJPW5D	","0.000000	","0.000000	","0.000000	",2023,1
"新型建材	","任县龙发空心砖生产有限公司	","91130526058179760R	","0.000000	","0.000000	","0.000000	",2023,1
"生活垃圾焚烧	","沙河海创环保科技有限责任公司	","91130582MA0E03PJ2H	","539.783700	","610.885500	","3823.849200	",2023,1
"玻璃	","沙河市安全实业有限公司	","9113058272879435X3	","668.552500	","484.795200	","3803.960400	",2023,1
"玻璃	","沙河市长城玻璃有限公司	","91130582789805526T	","499.235000	","159.487000	","3873.040000	",2023,1
"玻璃	","沙河市鸿昇玻璃有限公司	","911305827603268207	","99.335000	","377.335000	","1495.886000	",2023,1
"新型建材	","沙河市润龙建材有限公司	","91130582MA07UFPP19	","0.000000	","0.000000	","0.000000	",2023,1
"水泥	","沙河市双基水泥有限公司	","91130582692070893J	","0.000000	","0.000000	","0.000000	",2023,1
"化工	","沙河市永福糠醛厂	","91130582732896244W	","0.000000	","0.000000	","0.000000	",2023,1
"其他具体行业	","沙河市永固建材有限责任公司	","91130582308105247Q	","0.000000	","0.000000	","0.000000	",2023,1
"其他具体行业	","沙河市中建新型建材有限公司	","91130582MA07M05H4B	","0.000000	","0.000000	","0.000000	",2023,1
"新型建材	","威县庆升建材加工厂	","92130533MA081Q625P	","0.000000	","0.000000	","0.000000	",2023,1
"生活垃圾焚烧	","威县深能环保有限公司	","91130533MA0DQ22B9R	","550.604000	","1346.771600	","4902.030700	",2023,1
"新型建材	","威县奕臻建筑材料有限公司	","91130533MA07NAYTX1	","0.000000	","0.000000	","0.000000	",2023,1
"其他具体行业	","邢台德贵纳米材料科技有限公司	","91130521MA07UEDU38	","25.735000	","47.096000	","835.884000	",2023,1
"钢铁	","邢台钢铁有限责任公司	","91130500105783910L	","1788.859000	","7184.497800	","8442.162900	",2023,1
"火电	","邢台国泰发电有限责任公司	","91130500752441650E	","1573.739500	","21051.246600	","29637.645900	",2023,1
"橡胶	","邢台国运工贸有限公司	","9113052668433326XK	","0.000000	","0.000000	","0.000000	",2023,1
"化工	","邢台恒源化工集团有限公司	","911305007158695947	","0.000000	","0.000000	","0.000000	",2023,1
"造纸及纸制品业	","邢台鸿鑫泰纸业有限公司	","91130501MABLURRB58	","0.219000	","7.396000	","66.790000	",2023,1
"其他具体行业	","邢台嘉泰环保科技有限公司	","9113058134782800X8	","30.683900	","31.788300	","224.802900	",2023,1
"水泥	","邢台建德水泥有限公司	","911305216892502367	","1146.165400	","181.020600	","5722.308300	",2023,1
"化工	","邢台金丰能源科技有限公司	","911305237589086297	","209.013100	","608.809000	","633.481200	",2023,1
"新型建材	","邢台金牛玻纤有限责任公司	","91130502677360913Y	","6.791990	","67.056500	","43.467700	",2023,1
"其他具体行业	","邢台金沙河面业有限责任公司	","91130527799564308G	","25.102700	","36.109100	","234.218900	",2023,1
"水泥	","邢台金隅冀东水泥有限公司	","911305226992296922	","217.065600	","1127.427800	","7481.475400	",2023,1
"水泥	","邢台金隅冀东水泥有限公司牛山分公司	","911305220849570874	","0.000000	","0.000000	","0.000000	",2023,1
"水泥	","邢台金隅咏宁水泥有限公司	","91130582308286885G	","622.148700	","69.890000	","5121.413000	",2023,1
"其他具体行业	","邢台聚隆燃气有限责任公司（隆尧热源站）	","911305000911098953	","13.088000	","33.870514	","950.695722	",2023,1
"其他具体行业	","邢台劳特斯新材料科技有限公司	","91130581MA0EDCKP5G	","0.000000	","0.000000	","0.000000	",2023,1
"其他具体行业	","邢台民源纸业有限公司	","91130501MA0E8E888P	","0.000000	","0.000000	","0.000000	",2023,1
"化工	","邢台庆华再生资源利用有限公司	","9113052255909655XK	","0.000000	","0.000000	","0.000000	",2023,1
"其他具体行业	","邢台荣鑫热力有限公司	","91130525MA0A32NY2C	","0.000000	","0.000000	","0.000000	",2023,1
"其他具体行业	","邢台市福德纸业有限公司	","91130501MA0EN6693G	","0.219000	","1.099000	","67.230000	",2023,1
"固体废物处理厂	","邢台市嘉德恒信医疗废物处置有限公司	","91130526693493521N	","0.000000	","0.000000	","0.000000	",2023,1
"新型建材	","邢台市金泳新型建材有限公司	","91130501MAC7GBENXR	","0.000000	","0.000000	","0.000000	",2023,1
"化工	","邢台市茂新化工产品有限公司	","911305305909673848	","77.020941	","652.287809	","1400.953073	",2023,1
"其他具体行业	","邢台市新锦纸业有限公司	","91130501MA7N8T409J	","3.348000	","5.493000	","118.997000	",2023,1
"新型建材	","邢台市众源建筑材料有限公司	","91130506MA07MXWR82	","0.000000	","0.000000	","0.000000	",2023,1
"铸造	","邢台曙光轧辊有限公司	","9113050174153056XD	","53.596000	","0.000000	","0.000000	",2023,1
"铸造	","邢台顺企机械有限公司	","91130523050990591T	","0.000000	","0.000000	","0.000000	",2023,1
"其他具体行业	","邢台通利光缆材料科技有限公司	","91130521559089640X	","6.788861	","1.748037	","43.974014	",2023,1
"新型建材	","邢台县马河育才煤矸石烧结多孔砖厂	","92130521MA08HJNW7P	","0.000000	","0.000000	","0.000000	",2023,1
"其他具体行业	","邢台县旭东工贸有限责任公司	","911305217777387419	","0.000000	","0.000000	","0.000000	",2023,1
"其他具体行业	","邢台新翔金属材料科技股份有限公司	","911305007651704236	","8.299900	","6.456000	","278.787100	",2023,1
"化工	","邢台旭阳化工有限公司	","91130500092858396H	","37.794000	","1136.204000	","2795.959200	",2023,1
"化工	","邢台旭阳煤化工有限公司	","91130500787010754W	","29.877000	","291.768000	","593.329000	",2023,1
"水泥	","邢台中联水泥有限公司	","91130523772796993X	","4.718900	","0.000000	","0.000000	",2023,1
"石灰和石膏制造	","邢台中邱石灰有限责任公司	","91130523560462297H	","0.000000	","0.000000	","0.000000	",2023,1
"橡胶	","优科豪马轮胎工业(邢台)有限公司	","91130500567354539P	","0.000000	","0.000000	","106.869300	",2023,1
"橡胶	","优科豪马轮胎工业（河北）有限公司	","91130500789814078H	","0.000000	","0.000000	","0.000000	",2023,1
"火电	","玉锋实业集团有限公司	","91130528601068705W	","645.942400	","1711.266600	","3650.011400	",2023,1
"铸造	","远大阀门集团有限公司	","91130525721609633G	","8.311000	","0.000000	","0.000000	",2023,1
"铸造	","中钢集团邢台机械轧辊有限公司	","91130500105780461T	","1678.392100	","0.000000	","23.453700	",2023,1
"其他具体行业	","中环寰慧（南宫）节能热力有限公司	","91130581069428451H	","34.394000	","204.885000	","1329.217000	",2023,1
"热力生产和供应	","中煤科工邢台清洁能源有限公司	","91130534MA0FE4X40L	","8.110141	","34.560105	","72.782838	",2023,1
"化工	","柏乡君和化工有限公司	","91130524766632810X	","52.901000	","220.627000	","375.687300	",2023,2
"其他具体行业	","柏乡县昌华热力有限公司	","91130524398865687N	","61.510000	","50.786000	","352.209000	",2023,2
"工业园区	","柏乡县晨光热力有限公司	","91130524MA08KUMQ80	","13.887000	","1.424000	","533.639000	",2023,2
"其他具体行业	","柏乡县宏港热力有限公司	","91130524MA08KY3A7X	","23.989000	","19.159900	","507.334500	",2023,2
"生物发电	","柏乡县热华能源科技有限公司	","91130524MA08UFDX19	","52.807000	","25.882000	","337.847000	",2023,2
"新型建材	","柏乡县拥军新型墙体砖制造有限公司	","911305243360021223	","0.000000	","0.000000	","0.000000	",2023,2
"钢铁	","德龙钢铁有限公司	","911305007575188644	","5444.631000	","10988.977000	","55681.950000	",2023,2
"新型建材	","广宗县广远建材有限公司	","911305313479883884	","0.000000	","0.000000	","0.000000	",2023,2
"橡胶	","广宗县吉达橡胶有限公司	","91130531MA07K2NB4Q	","478.109000	","0.000000	","0.000000	",2023,2
"火电	","广宗县金腾热力有限公司	","91130531058191890F	","75.790000	","457.410000	","611.677000	",2023,2
"热力生产和供应	","广宗县万热力达供热有限公司	","911305310982923628	","67.957000	","365.949000	","829.899000	",2023,2
"火电	","国家电投集团宁晋热电有限公司	","91130528078773783A	","86.635000	","652.228000	","145.076000	",2023,2
"生物发电	","国能南宫生物发电有限公司	","9113058168928142X4	","140.998000	","428.744000	","1607.830000	",2023,2
"生物发电	","国能威县生物发电有限公司	","91130533789843063T	","0.000000	","0.000000	","0.000000	",2023,2
"热力生产和供应	","河北安米诺氨基酸科技有限责任公司清河热力供应处	","91130534MA0DXJ1K09	","7.743884	","11.921350	","5.944011	",2023,2
"电力	","河北崇羌热力有限公司	","91130533570057850D	","97.312000	","296.006000	","6621.792000	",2023,2
"玻璃	","河北德金玻璃有限公司	","91130582777729036T	","437.884000	","1696.106000	","6862.731000	",2023,2
"固体废物处理厂	","河北德谦环保科技有限公司	","91130500567357035L	","20.208300	","18.884200	","191.824900	",2023,2
"陶瓷	","河北德尚瓷业有限公司	","91130525575546258E	","4.683000	","91.485000	","229.086000	",2023,2
"玻璃	","河北东兴玻璃有限公司	","91130582782599045W	","26.391000	","47.437000	","249.584000	",2023,2
"化肥	","河北高盛化肥有限公司	","911305325576968850	","17.241000	","0.000000	","0.000000	",2023,2
"新型建材	","河北和睦建筑材料有限公司	","91130528347646329H	","0.000000	","0.000000	","0.000000	",2023,2
"化工	","河北宏光玻璃材料有限公司	","911305826690505445	","18.915400	","250.856600	","217.969800	",2023,2
"新型建材	","河北宏谦建材有限公司	","91130526347884300C	","0.000000	","0.000000	","0.000000	",2023,2
"新型建材	","河北宏旺桥耐火材料有限公司	","91130522MA07KKP49G	","0.000000	","0.000000	","0.000000	",2023,2
"其他具体行业	","河北鸿图锌业有限公司	","91130522777748528P	","25.303000	","14.658000	","78.666000	",2023,2
"其他具体行业	","河北鸿源再生资源回收有限公司	","91130535MA09MH5E8J	","0.018300	","0.006000	","0.097700	",2023,2
"橡胶	","河北互为橡胶科技有限公司	","91130529MA0D6CGM6E	","0.974000	","0.000000	","0.000000	",2023,2
"玻璃	","河北冀中新材料有限公司	","91130582MA0DN1UP2N	","14.006800	","17.960800	","402.615800	",2023,2
"化工	","河北建滔能源发展有限公司	","91130500752420462K	","39.218200	","574.007200	","513.929600	",2023,2
"火电	","河北建投沙河发电有限责任公司	","91130582687024809Y	","3882.289600	","16708.760000	","23728.627000	",2023,2
"火电	","河北健民淀粉糖业有限公司	","911305287415091621	","0.000000	","0.000000	","0.000000	",2023,2
"新型建材	","河北金舵岩棉制品有限公司	","9113052258967738XQ	","0.000000	","0.000000	","0.000000	",2023,2
"新型建材	","河北金冠建材有限公司	","91130527067015848J	","0.000000	","0.000000	","0.000000	",2023,2
"玻璃	","河北金宏阳太阳能科技股份有限公司	","91130500561968599W	","85.223000	","85.757300	","2272.352700	",2023,2
"水泥	","河北金隆水泥集团有限公司	","911305256010575637	","9.689000	","0.000000	","0.000000	",2023,2
"化工	","河北金牛旭阳化工有限公司	","91130521673215778U	","10.917000	","11.875000	","361.252600	",2023,2
"其他具体行业	","河北金沙河面业集团有限责任公司	","911305827009444834	","30.705600	","274.784000	","241.758000	",2023,2
"生活垃圾焚烧	","河北锦宝石循环资源开发集团有限公司	","91130524MA09YJWJ1J	","74.224700	","427.238900	","1868.148900	",2023,2
"其他具体行业	","河北锦好热力有限公司	","911305240849607026	","0.000000	","0.000000	","0.000000	",2023,2
"化工	","河北九木生物科技有限公司	","91130533073708691M	","0.000000	","0.000000	","0.000000	",2023,2
"其他具体行业	","河北凯山新能源科技有限公司	","911305825689412410	","0.000000	","0.000000	","0.000000	",2023,2
"化工	","河北康丰木业有限公司	","91130506588190000A	","35.816700	","90.791000	","549.299000	",2023,2
"化工	","河北六合化工有限公司	","91130528336171508M	","0.000000	","95.087000	","0.000000	",2023,2
"化工	","河北茂盛农业科技开发股份有限公司	","91130500757525175J	","57.198000	","350.774000	","877.436000	",2023,2
"其他具体行业	","河北镁神科技股份有限公司	","911305316610547945	","0.000000	","0.000000	","0.000000	",2023,2
"火电	","河北宁纺集团有限责任公司	","911305286014275874	","13.909000	","193.823000	","287.365000	",2023,2
"其他具体行业	","河北宁鸣清洁能源有限公司平乡县分公司	","91130532MAE1B58590	","8.715000	","29.777000	","776.896000	",2023,2
"其他具体行业	","河北商耐新材料科技有限公司	","91130522MA0989PX2C	","2.688000	","63.363000	","176.649000	",2023,2
"化工	","河北深茂新材料科技有限公司	","9113050667030656X9	","125.716000	","196.346000	","642.618000	",2023,2
"化工	","河北省沙河市恒高化工有限公司	","91130582732904638D	","23.394000	","108.998000	","162.212000	",2023,2
"橡胶	","河北泰能鸿森医疗科技有限公司	","91130581054013624U	","13.400000	","49.830000	","614.130000	",2023,2
"其他具体行业	","河北特正达建筑材料有限公司	","91130528MA07K6KX63	","59.831000	","488.120000	","603.368000	",2023,2
"碳素	","河北翔九石墨股份有限公司	","911305210922986910	","5.964000	","36.930000	","34.247000	",2023,2
"水泥	","河北新盈科创钙业股份有限公司	","91130500MA07K0XU82	","0.000000	","0.000000	","0.000000	",2023,2
"玻璃	","河北鑫利玻璃有限公司	","91130582779196018C	","307.330000	","320.502000	","3582.664000	",2023,2
"新型建材	","河北邢台新兴墙材有限公司	","91130521105914597F	","0.000000	","0.000000	","0.000000	",2023,2
"化工	","河北邢台冶金镁业有限公司	","9113052170078730XT	","0.000000	","0.000000	","0.000000	",2023,2
"其他具体行业	","河北邢州耐火材料有限公司	","91130522788660337M	","0.000000	","0.000000	","0.000000	",2023,2
"其他具体行业	","河北岳腾热力有限公司分厂	","91130532MA7BXHYE28	","0.000000	","0.000000	","0.000000	",2023,2
"其他具体行业	","河北云筒环保科技有限公司	","91130528MA097M8H3K	","0.992000	","2.614000	","91.512000	",2023,2
"玻璃	","河北正大玻璃有限公司	","911305827603270227	","225.217000	","241.524000	","2250.784000	",2023,2
"水泥	","河北中达集团有限责任公司	","911305007006319970	","3.341800	","0.000000	","0.000000	",2023,2
"焦化	","河北中煤旭阳能源有限公司	","9113052175548818XG	","1582.749300	","3685.329700	","3845.861300	",2023,2
"其他具体行业	","河北中仁化肥集团有限公司	","911305285881780959	","46.192000	","0.000000	","0.000000	",2023,2
"固体废物处理厂	","河北中润生态环保有限公司	","91130100760317983E	","13.190000	","7.205000	","462.767000	",2023,2
"化工	","河北卓泰肥业有限公司	","91130523081305171D	","0.000000	","0.000000	","0.000000	",2023,2
"火电	","冀中能源股份有限公司东庞矿矸石热电厂	","91130500766638198R	","52.976700	","103.293700	","1457.305900	",2023,2
"火电	","冀中能源股份有限公司章村矿矸石热电厂	","91130582766631359A	","239.946597	","404.555835	","1138.762661	",2023,2
"火电	","建投邢台热电有限责任公司	","911305273198198866	","2140.638700	","12892.171100	","19535.682600	",2023,2
