date,site,composite_index,grade,AQI,pm2.5,pm10,o3,so2,no2,co
2025/9/3,雅安市,1.46,优,27,18,27,37,5,7,0.5
2025/9/3,日照市,1.46,优,26,11,14,83,6,11,0.6
2025/9/3,佛山市,1.44,优,32,10,19,12,5,25,0.5
2025/9/3,咸阳市,1.42,优,30,12,30,37,2,13,0.5
2025/9/3,孝感市,1.42,优,26,7,19,83,10,7,0.7
2025/9/3,荆州市,1.41,优,24,12,19,30,4,19,0.4
2025/9/3,昆明市,1.4,优,24,11,24,18,5,19,0.4
2025/9/3,宿州市,1.38,优,23,15,23,55,4,9,0.2
2025/9/3,宿迁市,1.34,优,22,15,20,49,5,8,0.4
2025/9/3,杭州市,1.34,优,20,11,17,25,7,16,0.6
2025/9/3,池州市,1.34,优,23,8,18,39,5,14,0.9
2025/9/3,淮安市,1.32,优,18,11,18,42,6,13,0.5
2025/9/3,芜湖市,1.31,优,19,10,18,36,5,15,0.5
2025/9/3,南宁市,1.29,优,23,12,23,29,5,12,0.4
2025/9/3,福州市,1.27,优,20,13,20,31,4,11,0.4
2025/9/3,三门峡市,1.27,优,19,12,11,58,5,11,0.5
2025/9/3,西安市,1.27,优,21,11,21,41,2,11,0.6
2025/9/3,宁波市,1.27,优,20,10,18,29,5,16,0.4
2025/9/3,绍兴市,1.27,优,20,10,14,32,6,16,0.5
2025/9/3,资阳市,1.25,优,17,10,15,52,7,10,0.5
2025/9/3,淮北市,1.25,优,23,8,19,73,7,6,0.5
2025/9/3,滁州市,1.21,优,25,17,,57,6,9,0.5
2025/9/3,连云港市,1.19,优,22,4,13,69,5,13,0.6
2025/9/3,宜春市,1.17,优,25,10,25,28,5,8,0.4
2025/9/3,惠州市,1.16,优,17,8,15,30,8,13,0.5
2025/9/3,盐城市,1.14,优,16,8,11,50,6,11,0.5
2025/9/3,宣城市,1.12,优,18,9,18,16,6,13,0.4
2025/9/3,新余市,1.11,优,17,9,17,41,8,7,0.4
2025/9/3,江门市,1.09,优,20,8,17,13,5,16,0.3
2025/9/3,南充市,1.06,优,20,10,14,61,4,5,0.3
2025/9/3,运城市,1.01,优,24,5,12,74,3,4,0.7
2025/9/3,温州市,1,优,22,5,13,16,4,17,0.4
2025/9/3,遂宁市,0.98,优,14,9,14,44,6,5,0.3
2025/9/3,拉萨市,0.98,优,18,6,7,55,6,10,0.3
2025/9/3,黄山市,0.97,优,23,8,23,28,3,5,0.4
2025/9/3,丽水市,0.96,优,18,5,10,27,4,14,0.5
2025/9/3,深圳市,0.95,优,14,4,13,26,7,11,0.5
2025/9/3,贵阳市,0.93,优,16,7,15,49,5,6,0.2
2025/9/3,舟山市,0.9,优,20,3,8,20,3,16,0.6
2025/9/3,珠海市,0.87,优,11,7,10,35,4,7,0.4
2025/9/3,中山市,0.78,优,17,3,5,21,6,13,0.4
2025/9/3,海口市,0.75,优,12,5,12,22,4,7,0.3
2025/9/3,台州市,0.74,优,12,2,11,20,6,9,0.4
